brand,id,category,type,dc_mm,shank_mm,ratio,classification
"Sumitomo","VOX400-160C20R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400-200C26R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400-250C34R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX400R10005D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX400R12506E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX400R16008F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX400R20010K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX400R25012K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX400R10007D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX400R12508E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX400R16012F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX400R20016K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX400R25018K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX400-100B05R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX400-125B06R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX400-160C08R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX400-200C10R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX400-250C12R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX400-100B07R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX400-125B08R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX400-160C12R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX400-200C16R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX400-250C18R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX400-100B10R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX400-125B12R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX400-160C15R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX400-200C19R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX400-250C22R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","AXD4000R10006DA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD4000R12507EA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD4000R10006DB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD4000R12507EB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD4000-100A06RA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD4000-125B07RA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD4000-100A06RB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD4000-125B07RB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD7000R10005DA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD7000R12506EA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD7000R10005DB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD7000R12506EB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD7000-100A05RA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD7000-125B06RA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AXD7000-100A05RB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AXD7000-125B06RB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","BXD4000R10006DA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","BXD4000R12507EA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","BXD4000R10006DB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","BXD4000R12507EB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","BXD4000-100A06RA","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","BXD4000-125B07RA","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","BXD4000-100A06RB","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","BXD4000-125B07RB","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AJX14R10005D","solid_mill","end_mill",88.1,,,bad-diameter
"Sumitomo","AJX14R10006D","solid_mill","end_mill",88.1,,,bad-diameter
