tool_id,brand,tool_type,material,source_file
AMPC-151T-18.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-19,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-19.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-20,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-20.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-21,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-21.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-22,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-22.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-23,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-23.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-24,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-.976,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0031,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0100,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0101,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0102,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0103,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0104,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0105,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0106,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0107,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0108,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0110,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0111,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-0112,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.015,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.046,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.226,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.231,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-1.234,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-24.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-25,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
